Rnk,Tm,Player,College,G,MP,PTS,TRB,AST,FG,3P,FT,MPG,PPG,RPG,APG,WS,WS48
34,POR,Armon Johnson,University of Nevada Reno,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-0.015
35,WAS,Nemanja Bjelica,,,,,,,,,,,,,,,
36,DET,Terrico White,University of Mississippi,,,,,,,,,,,,,,
37,MIL,Darington Hobson,University of New Mexico,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-0.225
38,NYK,Andy Rautins,Syracuse University,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-0.314
39,NYK,Landry Fields,Stanford University,199,5472,1617,1007,384,.476,.336,.665,27.5,8.1,5.1,1.9,9.8,.086
40,IND,Lance Stephenson,University of Cincinnati,132,2835,830,375,290,.440,.296,.644,21.5,6.3,2.8,2.2,4.9,.084
41,MIA,Jarvis Varnado,Mississippi State University,13,58,8,9,3,.429,,.500,4.5,0.6,0.7,0.2,-0.1,-0.059
42,MIA,Da'Sean Butler,West Virginia University,,,,,,,,,,,,,,
43,LAL,Devin Ebanks,West Virginia University,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035
44,MIL,Jerome Jordan,University of Tulsa,21,108,42,27,4,.515,,.800,5.1,2.0,1.3,0.2,0.5,.211
45,MIN,Paulao Prestes,,,,,,,,,,,,,,,
46,PHO,Gani Lawal,Georgia Institute of Technology,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,-0.009
47,MIL,Tiny Gallon,University of Oklahoma,,,,,,,,,,,,,,
48,MIA,Latavious Williams,,,,,,,,,,,,,,,
49,SAS,Ryan Richards,,,,,,,,,,,,,,,
50,DAL,Solomon Alabi,Florida State University,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010
51,OKC,Magnum Rolle,Louisiana Tech University,,,,,,,,,,,,,,
52,BOS,Luke Harangody,University of Notre Dame,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048
53,ATL,Pape Sy,,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-0.047
54,LAC,Willie Warren,University of Oklahoma,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065
55,UTA,Jeremy Evans,Western Kentucky University,115,895,315,205,48,.647,.000,.640,7.8,2.7,1.8,0.4,3.4,.183
56,MIN,Hamady N'Diaye,Rutgers University,19,83,14,7,0,.667,,.500,4.4,0.7,0.4,0.0,0.1,.031
57,IND,Ryan Reid,Florida State University,5,17,8,2,0,.800,,,3.4,1.6,0.4,0.0,0.1,.142
58,LAL,Derrick Caracter,University of Texas at El Paso,41,215,81,43,7,.485,,.739,5.2,2.0,1.0,0.2,0.3,.057
59,ORL,Stanley Robinson,University of Connecticut,,,,,,,,,,,,,,
60,PHO,Dwayne Collins,University of Miami,,,,,,,,,,,,,,
